,energy_product_id,country,product_type,year,1K_tonne_oil_equivalent
1,2368,Belgium,Total,2015,33096.9
2,2369,Bulgaria,Total,2015,9388.55
3,2370,Czechia,Total,2015,23093.9
4,2371,Denmark,Total,2015,13530.0
5,2372,Germany (until 1990 former territory of the FRG),Total,2015,199966.0
6,2373,Estonia,Total,2015,2750.74
7,2374,Ireland,Total,2015,10470.3
8,2375,Greece,Total,2015,15741.0
9,2376,Spain,Total,2015,76062.0
10,2377,France,Total,2015,141114.0
11,2378,Croatia,Total,2015,6484.35
12,2379,Italy,Total,2015,112108.0
13,2380,Cyprus,Total,2015,1423.92
14,2381,Latvia,Total,2015,3680.17
15,2382,Lithuania,Total,2015,4779.51
16,2383,Luxembourg,Total,2015,3537.08
17,2384,Hungary,Total,2015,16829.6
18,2385,Malta,Total,2015,462.343
19,2386,Netherlands,Total,2015,43699.7
20,2387,Austria,Total,2015,25471.1
21,2388,Poland,Total,2015,60861.5
22,2389,Portugal,Total,2015,15550.9
23,2390,Romania,Total,2015,21600.2
24,2391,Slovenia,Total,2015,4715.24
25,2392,Slovakia,Total,2015,8939.68
26,2393,Finland,Total,2015,23049.0
27,2394,Sweden,Total,2015,31510.9
28,2395,Iceland,Total,2015,2848.62
29,2396,Norway,Total,2015,18605.2
30,2397,United Kingdom,Total,2015,120063.0
31,2398,Montenegro,Total,2015,662.644
32,2399,North Macedonia,Total,2015,1837.59
33,2400,Albania,Total,2015,1963.49
34,2401,Serbia,Total,2015,7885.88
35,2402,Turkey,Total,2015,86847.0
36,2403,Bosnia and Herzegovina,Total,2015,3316.91
37,2404,Kosovo (under United Nations Security Council Resolution 1244/99),Total,2015,1339.93
38,2405,Moldova,Total,2015,2357.1
39,2406,Ukraine,Total,2015,47488.2
40,2407,Georgia,Total,2015,3834.73
42,2411,Belgium,Solid fossil fuels,2015,543.149
43,2412,Bulgaria,Solid fossil fuels,2015,331.146
44,2413,Czechia,Solid fossil fuels,2015,1568.22
45,2414,Denmark,Solid fossil fuels,2015,117.773
46,2415,Germany (until 1990 former territory of the FRG),Solid fossil fuels,2015,4749.25
47,2416,Estonia,Solid fossil fuels,2015,16.86
48,2417,Ireland,Solid fossil fuels,2015,332.207
49,2418,Greece,Solid fossil fuels,2015,224.437
50,2419,Spain,Solid fossil fuels,2015,432.83
51,2420,France,Solid fossil fuels,2015,1130.11
52,2421,Croatia,Solid fossil fuels,2015,81.382
53,2422,Italy,Solid fossil fuels,2015,539.45
54,2423,Cyprus,Solid fossil fuels,2015,3.679
55,2424,Latvia,Solid fossil fuels,2015,42.26
56,2425,Lithuania,Solid fossil fuels,2015,157.893
57,2426,Luxembourg,Solid fossil fuels,2015,49.137
58,2427,Hungary,Solid fossil fuels,2015,175.751
59,2428,Malta,Solid fossil fuels,2015,0.0
60,2429,Netherlands,Solid fossil fuels,2015,76.86
61,2430,Austria,Solid fossil fuels,2015,352.912
62,2431,Poland,Solid fossil fuels,2015,10730.7
63,2432,Portugal,Solid fossil fuels,2015,12.968
64,2433,Romania,Solid fossil fuels,2015,776.919
65,2434,Slovenia,Solid fossil fuels,2015,39.3
66,2435,Slovakia,Solid fossil fuels,2015,440.572
67,2436,Finland,Solid fossil fuels,2015,108.868
68,2437,Sweden,Solid fossil fuels,2015,390.695
